core   0: 0x20000198 (0x010e8707) vle8ff.v v14, (t4), v0.t
core   0: >>>>  label59
core   0: 0x2000019c (0x02854d33) div     s10, a0, s0
core   0: >>>>  footer
core   0: 0x200001a0 (0x0080006f) j       pc + 0x8
core   0: >>>>  end
core   0: 0x200001a8 (0x00000033) add     zero, zero, zero
core   0: 0x200001ac (0x00100293) li      t0, 1
core   0: 0x200001b0 (0x02004317) auipc   t1, 0x2004
core   0: 0x200001b4 (0xe5030313) addi    t1, t1, -432
core   0: 0x200001b8 (0x00532023) sw      t0, 0(t1)
core   0: >>>>  loop_stop
core   0: 0x200001bc (0x0000006f) j       pc + 0x0
